Functional Area,2024 Description,2025 Description,Application/Platform,Vendor,CapEx / OpEx,2024 Current Forecast,2025 Agreed Budget
IS R&D – Research & NonClinical Development (65170),"ZIFO MSP - Business Partner Lead, Application Management, Development Support","ZIFO MSP - Business Partner Lead, Application Management, Development Support",,Zifo Technologies Inc,Op Ex,276450.0,259200.0
IS Commercial - Omnichannel (65160),Veeva Align Resource,Veeva Align Engineer / Administration,Veeva,US - Veeva Systems Inc,Op Ex,225176.0,225000.0
ERP Project Harmony (66100),Fiona Kane replacement (temp),,,Sapro Solutions Ltd,Op Ex,-32590.78,0.0
IS Enterprise Data & Analytics (65115),"Informatica (MDM [Product], EDC, US IICS) - Yearly Licenses","Informatica (MDM [Product], EDC, US IICS) - Yearly Licenses",Informatica,Informatica,Op Ex,621067.05,167805.0
IS Global Infrastructure – Network (65150),Network - Wireless Access Points Maintenance (Jazz) 3 year,Network - Wireless Access Points Maintenance (Jazz) 3 year,Cisco Meraki,Evotek,Op Ex,17840.16,18000.0
IS Global Infrastructure – Network (65150),Network - Expense costs from 2023 Infrastructure refresh,DELETE,Cisco,Evotek,Op Ex,1624.0,48000.0
IS ED&EUS - Collaboration & Productivity Platforms (65140),Maintenance of Man Down telecom devices,,,ANT Telecommunications,Op Ex,600.0,6000.0
IS InfoSec & EA - Eng & Ops (65190),Digicert SSL Certificates (public Cert),,Digicert,Digicert,Op Ex,23625.0,34500.0
IS Global Infrastructure – Network (65150),Network - Hands and feet support at site,DELETE,Tokyo office,Regus,Op Ex,0.0,0.0
IS R&D – Global Clinical Development Operations (65170),Xogene Subscription/License Cost (Year 2 and Year 3),Xogene Subscription/License Cost (Year 2 and Year 3),Xogene,Xogene,Op Ex,114999.97,115000.0
IS Corporate - Other/IS (65180),Docusign Customer Success Architect Prof Services,,,DocuSign Inc,Op Ex,0.0,80000.0
IS R&D – Global Clinical Development Operations (65170),RLS Subscription/License Cost (Year 2 and Year 3),RLS Subscription/License Cost (Year 2 and Year 3),RLS,Real Life Sciences,Op Ex,272869.53,283802.0
IS Enterprise Data & Analytics (65115),Dataiku (AI/ML) Tool - GROWTH,Dataiku (AI/ML) Tool - GROWTH,Dataiku,Dataiku,Op Ex,0.0,24000.0
IS Corporate - Compliance (65180),Cresen Monitoring Tool 3 year License,,,Cresen,Op Ex,0.0,0.0
IS Global Infrastructure – Network (65150),Network - Firewall Maintenance (year 2 and 3 for ATH),DELETE,Palo Alto,Evotek,Op Ex,0.0,0.0
IS Commercial - Omnichannel (65160),Increase SF Marketing Cloud SMS Licenses (2024 - Carry over 16K in Feb),-,-,Salesforce,Op Ex,0.0,0.0
"IS Strategy, Ops & Compliance - PMO (65120)",PMO PM Resource (NS),,,Grovelands,Op Ex,202593.872,223200.0
IS Commercial (65160),Team Development - Communication & Effectiveness (DiSC),,,John Honingford,Op Ex,0.0,0.0
IS R&D – Global Pharmacovigilance & Labeling (65170),Oracle Enterprise Database License to support Argus/PVI server growth (may be required),Oracle Enterprise Database License to support Argus/PVI server growth (may be required),"Argus, PVI",Oracle America Inc,Cap Ex,0.0,0.0
IS R&D – Global Pharmacovigilance & Labeling (65170),Argus application ICSR Case License to support increase in AE's due to process change and new products (may be required),Argus application ICSR Case License to support increase in AE's due to process change and new products (may be required),Argus,Oracle America Inc,Cap Ex,0.0,0.0
IS R&D – Other/IT (65170),Cognizant Resources to Support Qlik Dashboard Enhancements,Cognizant Resources to Support Qlik Dashboard Enhancements,Qlik,Cognizant Worldwide Limited,Op Ex,0.0,0.0
"IS Strategy, Ops & Compliance - C&E (65120)","Chillie Breeze $8K upfront payment for slide design

Level 1 - Fit and Finish: Approx. 1000 slides (25-35USD per hour)
Level 2 -  Design Magic Approx. 350 slides
Level 3 - Visualise - dependent on completed",,,Chillie Breeze,Op Ex,15000.0,12000.0
IS ED&EUS - End User Services (65140),IT E-Waste/Recycling,,,Wisetek Inc,Op Ex,0.0,10200.0
IS ED&EUS - Projects and Portfolio (65140),CW resource Project Manager for EUS - MH,,,Grovelands,Op Ex,184081.0744,200500.0
IS R&D – Research & NonClinical Development (65170),Chem42 Computational Expenses,Chem42 Computational Expenses,Chemistry42,Insilico Medicine,Op Ex,7889.30000000001,0.0
IS R&D – Research & NonClinical Development (65170),TIBCO Spotfire Training,TIBCO Spotfire Training,Spotfire,Revvity,Op Ex,33000.0,15000.0
ERP Project Harmony (66100),Cash Application license,,,Itelligence Business Solutions UK L,Cap Ex,0.0,0.0
IS R&D – Global Clinical Development Operations (65170),"Spotfire support contract extension for resource 'Natasha Mora' from July 2023 till June 2024.

Added an additional $100k for 2024 for the support/enhancements of the ZW Spotfire reports which will be migrated from Zymeworks to Jazz.","Spotfire support contract extension for resource 'Natasha Mora' from July 2023 till June 2024.

Added an additional $100k for 2024 for the support/enhancements of the ZW Spotfire reports which will be migrated from Zymeworks to Jazz.",Spotfire,Revvity,Op Ex,15900.0,0.0
IS Corporate - Legal (65180),Purchase of AWS S3 Bucket for Email Storage,,,AWS,Op Ex,0.0,4000.0
IS TechOps & Quality – QA (65130),ZIFO MSP PM - Gareth,,,Zifo Technologies Inc,Op Ex,117721.292005,216000.0
IS Corporate - Legal (65180),Purchase of e-Discovery Software,,,LogicKull,Op Ex,24000.0,96000.0
IS ED&EUS - Collaboration & Productivity Platforms (65140),dryvIQ 24 Mo. File Migration SaaS Software,,,dryvIQ,Op Ex,11235.0,26215.0
IS R&D – Global Pharmacovigilance & Labeling (65170),Retire,Retire,JazzPVI,RxLogix Corporation,Op Ex,27945.0,0.0
IS InfoSec & EA - Eng & Ops (65190),Gurucul Risk Analytic - User Identity Behaviour Analytics (3 Year License),,Gurucul,Gurucul Solutions,Op Ex,171527.96,191520.0
IS R&D – Global Pharmacovigilance & Labeling (65170),"Jazz PV Reports, Central and Quality Case License fee 
25000 cases/Year
@ $9/Case Year 1, $13.5/Case Year 2, $19.5/case year 3","Jazz PV Reports, Central and Quality Case License fee 
25000 cases/Year
@ $9/Case Year 1, $13.5/Case Year 2, $19.5/case year 3",JazzPVI,RxLogix Corporation,Op Ex,0.0,112668.0
IS R&D – Other/IT (65170),MSP for Non-RNCD,MSP for Non-RNCD,InfoSys,Infosys/Base Life Science,Op Ex,630323.6871,825000.0
IS ED&EUS - Collaboration & Productivity Platforms (65140),"Global AV, VC, and Mtg Support Services",,,Yorktel,Op Ex,195552.41,384000.0
IS Enterprise Data & Analytics (65115),Data and Report Operations and Support - Offshore - 2024 GROWTH,Data and Report Operations and Support - Offshore - GROWTH,Offshore Data Ops Support,Intelliswift Software Inc.,Op Ex,66000.0,0.0
IS ED&EUS - End User Services (65140),Centre of Excellence - Service Review and Service Management,Centre of Excellence - Service Review and Service Management,Services,Happy Signals,Op Ex,0.0,48000.0
IS ED&EUS - End User Services (65140),"Service exerience, management and certification","Service exerience, management and certification",Services,ServiceDesk Institue,Op Ex,0.0,0.0
IS Enterprise Data & Analytics (65115),"Informatica (MDM [Product, Customer], JDC, IICS IPU's) - GROWTH","Informatica (MDM [Product, Customer], JDC, IICS IPU's) - GROWTH",Informatica,Informatica,Op Ex,0.0,0.0
IS ED&EUS - End User Services (65140),Replacement and new hire mobile devices,Replacement and new hire mobile hardware,Telephony,Vodafone UK,Op Ex,65506.208315,276000.0
IS R&D – Global Pharmacovigilance & Labeling (65170),Safety Signal Management Application Management and Support,Safety Signal Management Application Management and Support,Evidex,Intelliswift Software Inc.,Op Ex,0.0,0.0
IS R&D – Global Pharmacovigilance & Labeling (65170),Safety Signal Management Application Subscription License,Safety Signal Management Application Subscription License,Evidex,TriNetX,Op Ex,297500.0,210000.0
IS Commercial - US Business (65160),EMD- Data Engineer,,,ProcDNA,Op Ex,273696.0,345600.0
IS Commercial - US Business (65160),Sleep - Claims Data Analysis,,,ZS Associates,Op Ex,0.0,0.0
IS ED&EUS - Digital Workplace (65140),WhatFix Licenses,WhatFix Licenses,,WhatFix,Op Ex,30219.54,84000.0
IS R&D – Global Pharmacovigilance & Labeling (65170),Argus ICSR Case License to support increase in AE's due to new process/products - Support and Maintenance,Argus ICSR Case License to support increase in AE's due to new process/products - Support and Maintenance,Argus,Oracle America Inc,Op Ex,0.0,0.0
IS R&D – Global Pharmacovigilance & Labeling (65170),Oracle Enterprise Database License - Additional Core license to support Argus/PVI user growth - Support and Maintenance,Oracle Enterprise Database License - Additional Core license to support Argus/PVI user growth - Support and Maintenance,"Argus, PVI",Oracle America Inc,Op Ex,0.0,0.0
IS Enterprise Data & Analytics (65115),Tableau - Premium Support,To be retired,Tableau,Salesforce,Op Ex,0.0,0.0
"IS Strategy, Ops & Compliance - PMO (65120)",Contract Agile Coach Support,,,TBC,Op Ex,0.0,0.0
IS Corporate - HR (65180),Global Workforce Dashboard Subscription,,Global Workforce Dashboard,Agile HR Analytics Group,Op Ex,30000.0,40000.0
IS InfoSec & EA - EA (65190),Contingent workers for Enterprise Architectrue Practice,Contingent workers for Enterprise Architectrue Practice,,,Op Ex,101250.0,252000.0
IS Commercial - EU & Int'l (65160),Visualization Support,,,CSL,Op Ex,0.0,24000.0
IS Corporate - Legal (65180),Team Connect/ Jazz Engage - same platform Licences,,Team Connect,Mitratech,Op Ex,0.0,48000.0
IS Corporate - Compliance (65180),Navex Licences,,,,Op Ex,0.0,0.0
ERP Project Harmony (66100),IQVIA/Concur - EU,,,,Op Ex,15000.0,60000.0
ERP Project Harmony (66100),IQVIA/Concur (US),,Concur,IQVIA,Op Ex,78566.25,44400.0
IS ED&EUS - Automation (65140),DPA (Power Automate) Licenses Credits,Power Platform Licenses and Credits,Power Platform,Microsoft Corporation,Op Ex,0.0,29100.0
IS Commercial - Omnichannel (65160),Omnichannel Ops Support,Omnichannel Operational Support,Cognizant Worldwide Limited,Cognizant Worldwide Limited,Op Ex,199560.0,197600.0
IS TechOps & Quality – QA (65130),Data Business Partner and PM,,,CompassX,Op Ex,455094.995355,254400.0
IS ED&EUS - Collaboration & Productivity Platforms (65140),Azure compute for Purview,,,Microsoft Corporation,Op Ex,0.0,60000.0
IS ED&EUS - Collaboration & Productivity Platforms (65140),ATJ Meeting Production,ATJ Meeting Production,,Yorktel,Op Ex,74438.0,300000.0
IS ED&EUS - Collaboration & Productivity Platforms (65140),CPP Misc Supplies & Equipment - Sofcat,CPP Misc Supplies & Equipment - Sofcat,,Softcat,Op Ex,6000.0,24000.0
IS ED&EUS - Collaboration & Productivity Platforms (65140),CPP Misc Supplies & Equipment - CDW,CPP Misc Supplies & Equipment - CDW,,"CDW Direct, LLC",Op Ex,6000.0,24000.0
IS ED&EUS - Collaboration & Productivity Platforms (65140),SharePoint Online Storage,SharePoint Online Storage,,Microsoft Corporation,Op Ex,15000.0,120000.0
IS ED&EUS - Collaboration & Productivity Platforms (65140),Microsoft MS365 - MS Places,,,Microsoft Corporation,Op Ex,0.0,0.0
IS ED&EUS - Collaboration & Productivity Platforms (65140),Microsoft MS365 - Copilot,,,Microsoft Corporation,Op Ex,0.0,0.0
IS ED&EUS - Collaboration & Productivity Platforms (65140),Microsoft MS365 - Viva Workplace Analytics additional seats,,,Microsoft Corporation,Op Ex,15000.0,0.0
IS ED&EUS - Collaboration & Productivity Platforms (65140),Microsoft MS365 - MS Project Essentials,,,Microsoft Corporation,Op Ex,0.0,0.0
IS ED&EUS - Collaboration & Productivity Platforms (65140),Microsoft MS365 - Teams Premium,,,Microsoft Corporation,Op Ex,0.0,0.0
IS ED&EUS - Collaboration & Productivity Platforms (65140),Box API Fees related to migration to SPO,,,Box Inc,Op Ex,0.0,0.0
IS ED&EUS - Collaboration & Productivity Platforms (65140),Microsoft MS365 - Addtl. AI Builder & PA Premium,,,Microsoft Corporation,Op Ex,4500.0,0.0
IS R&D – Other/IT (65170),Onshore Intelliswift Resources for Data Solutions (1 resource),Onshore Intelliswift Resources for Data Solutions (1 resource),Cross-R&D,Intelliswift Software Inc.,Op Ex,253000.0,264000.0
IS Corporate - Other/IS (65180),Managed service provider for Docusign and sharepoint,,,Intelliswift Software Inc.,Op Ex,178750.0,162000.0
IS Corporate - Other/IS (65180),Managed Service provider for Coupa,,,Pwc,Op Ex,315000.0,420000.0
IS Global Infrastructure – Network (65150),Network - Capital costs to refresh 2024 EOL Infrastructure annually (CapEx),Network - Capital costs to refresh 2025 EOL Infrastructure annually (CapEx),"Cisco, Palo Alto",Evotek,Cap Ex,0.0,600000.0
IS R&D – Data Sciences (65170),Candid Subscription,Candid Subscription,,Zeroarc,Op Ex,36666.6666666666,220916.666666666
IS R&D – R&D Strategy & Operations (65170),OnePager Licenses (COTS),OnePager Licenses (COTS),OnePager,Chronicle Graphics,Op Ex,0.0,0.0
IS R&D – R&D Strategy & Operations (65170),OnePager License Annual Maintenance,OnePager License Annual Maintenance,OnePager,Chronicle Graphics,Op Ex,0.0,0.0
IS InfoSec & EA - Eng & Ops (65190),Staff Augmentation,,,Evotek,Op Ex,236201.0,0.0
IS R&D – Research & NonClinical Development (65170),Licenses for NMR analysis software.,Licenses for NMR analysis software.,Mestrenova,Mestrelab Research,Op Ex,215.293667,12171.0
IS R&D – Research & NonClinical Development (65170),2 licenses for molecule modeling COTS,2 licenses for molecule modeling COTS,Flare / Spark,Cresset,Op Ex,55401.868175,62562.5
IS InfoSec & EA - IAM (65190),Staff augmentation for IAM contingent worker resource,,,Evotek,Op Ex,259062.0,306000.0
IS InfoSec & EA - IAM (65190),Setup tools and process for Application Security Testing (PRJ01430),,To be selected,TBD,Op Ex,37500.0,150000.0
IS TechOps & Quality – QA (65130),LMS Managed Service/Operations Support,,Cornerstone SBX (Saba),Educe,Op Ex,529865.23,500145.0
IS InfoSec & EA - Eng & Ops (65190),Assessment for Data Scrubbing/Masking Capability (PRJ01412),,,,Op Ex,26600.0,159600.0
IS Infosec & EA - SGRC (65190),Phase 1 - Risk Management - Source and Implement a new GRC tool (PRJ01416),Security GRC Tool Subscription Cost,Metricstream,Metricstream,Op Ex,120000.0,200004.0
IS Infosec & EA - SGRC (65190),Data Security Governance - Phase 5 (PRJ01394),,,PWC,Op Ex,425000.0,0.0
IS Corporate - HR (65180),JazzCentral Support (Unily),,Unily,Social Edge,Op Ex,49963.5,50400.0
IS Corporate - Other/IS (65180),Envoy Visitors Licensing,,Envoy,Envoy inc,Op Ex,0.0,0.0
IS Corporate - Other/IS (65180),Envoy Workplace Licensing,,Office Space,Envoy inc,Op Ex,0.0,0.0
IS Global Infrastructure - Manufacturing (65150),KSP manufacturing refresh (CapEx) (PRJ01406),,KSP Manufacturing Infrastructure,Softcat,Cap Ex,100000.0,0.0
IS Global Infrastructure - Manufacturing (65150),KSP manufacturing refresh (OpEx) (PRJ01406),,KSP Manufacturing Infrastructure,Softcat,Op Ex,138077.2926,0.0
IS InfoSec & EA - Eng & Ops (65190),Migrate Vormetric to New Version (PRJ01135),,,,Op Ex,81847.02,0.0
IS InfoSec & EA - Eng & Ops (65190),On-Board Key Management System (Phase 1: Assessment) (PRJ01414),,,,Op Ex,24999.0,99996.0
IS Infosec & EA - SGRC (65190),Data Security Governance - BigID Data Discovery tool license.,,BigID,BigID,Op Ex,340837.5,353100.0
IS Global Infrastructure - Manufacturing (65150),Villa Guardia Infrastructure Refresh Manufacturing (Opex) (PRJ01130),,Villa Guardia Manufacturing,Davies Group,Op Ex,122092.2276,0.0
IS Global Infrastructure - Manufacturing (65150),Villa Guardia Corporate Network Refresh (CapEx) (PRJ01434),,Villa Guardia Corporate,Softcat,Cap Ex,60000.0,0.0
IS Corporate - Finance (65180),ThinkCell Licences,,,thinkcell,Op Ex,22000.0,22000.0
IS Commercial - US Business (65160),Oncology - Data Engineer (Offshore),,,TBD,Op Ex,0.0,120000.0
IS Commercial - US Business (65160),ZANI - Oncology - Data Engineer (OnShore),,,TBD,Op Ex,0.0,0.0
IS R&D – Research & NonClinical Development (65170),Design-Expert Licenses,Design-Expert Licenses,Design-Expert,Prism Training & Consultancy,Op Ex,3490.848,3767.4
IS R&D – Research & NonClinical Development (65170),MOE (Molecular Structure Modeling) Licenses,MOE (Molecular Structure Modeling) Licenses,MOE,CCG,Op Ex,36841.6666666666,222892.083333333
IS Commercial - US Business (65160),Market Access Email Communication Via SFMC for 340b communications,,,Klick,Op Ex,0.0,0.0
IS ED&EUS - End User Services (65140),New Hire Boxes (Global),,,Zenpack Corp,Op Ex,0.0,50000.0
IS ED&EUS - End User Services (65140),Printing Services - NA (Canada - VAN),,,Canon Canada Inc,Op Ex,0.0,38160.0
IS ED&EUS - End User Services (65140),Printing Services - NA (Canada - MIS),,,Canon Canada Inc,Op Ex,67.013973,19080.0
IS Commercial - US Business (65160),Migration of IH Campaign data into the omni platform,-,-,IQVIA Inc,Op Ex,24675.0,0.0
IS Commercial - US Business (65160),GA 4 license for 3 years.,GA 4 license for 3 years.,Google Analytics,MightyHive Ltd,Op Ex,34381.48,50004.0
IS Commercial - US Business (65160),Zaidyn Licenses for Next best Action,Next Best Action Licenses for Zaidyn,Zaidyn / Veeva,ZS Associates,Op Ex,408000.0,450000.0
IS Enterprise Data & Analytics (65115),Tableau Licenses - GROWTH (EU),To be retired,Tableau,Salesforce,Op Ex,0.0,0.0
IS R&D – Research & NonClinical Development (65170),Licenses for Discovery Medicinal Chemistry,Licenses for Discovery Medicinal Chemistry,DILIsym,Simlulations Plus,Op Ex,0.0,0.0
IS ED&EUS - Digital Workplace (65140),New App - 50 Licenses for Decisions App,,Decisions App,Decisions App,Op Ex,7020.06,7020.06
IS Commercial - US Business (65160),Sleep Data Engineer,,,Intelliswift Software Inc.,Op Ex,264000.0,264000.0
IS Global Infrastructure - Manufacturing (65150),Backup s/w for KSP Phase 0 - Veeam,Manufacturing - Backup s/w for KSP Phase 0 - Veeam,Veeam,Softcat,Op Ex,4500.0,3500.0
IS Commercial - Omnichannel (65160),Increased Datorama Rows and SAPS,-,-,Salesforce,Op Ex,0.0,0.0
IS R&D - Global Regulatory Affairs (65170),Regulatory - Lorenz DocuBridge Licenses for Submissions Publishing,Regulatory - Lorenz DocuBridge Licenses for Submissions Publishing,Lorenz DocuBridge,Lorenz International,Op Ex,22915.0,249300.0
IS Commercial - Omnichannel (65160),SFMC BU for Zani,-,-,Salesforce,Op Ex,0.0,0.0
IS Global Infrastructure - Manufacturing (65150),UPS and electrical work in Athlone,DELETE,UPS Athlone,Reehill Electrical,Op Ex,9932.1,0.0
IS R&D – Research & NonClinical Development (65170),Licenses for Discovery Medicinal Chemistry,Licenses for Discovery Medicinal Chemistry,MCPairs,MedChemica Limited,Cap Ex,0.0,20322.0
IS R&D – Data Sciences (65170),InClinico Licenses - Data Science,InClinico Licenses - Data Science,InClinico,InSilico Medicine,Op Ex,42000.0,0.0
IS ED&EUS - Collaboration & Productivity Platforms (65140),Onelan Digital Signage,,Onelan,Digicom Office Technology Ltd,Op Ex,253.59,0.0
IS Commercial - Omnichannel (65160),Omnichannel Analyst / Project Manager,"Omni channel Program Management Support, Data Engineers for Media and Salesforce Engineer",-,Oakwood,Op Ex,385750.0,450000.0
IS Global Infrastructure – Network (65150),Legal costs for Compass House WAN line install,DELETE,Compass House,Gowling,Op Ex,12619.78,0.0
IS Infosec & EA - SGRC (65190),Security Metric Improvement Consulting (PRJ01428),,,PWC,Op Ex,248575.0,0.0
IS Management (65100),Misc. Expenses Non POs 65100,Misc. Expenses Non POs 65100,Misc. Expenses Non PO,Misc. Expenses Non PO,Op Ex,64255.196423,0.0
IS Global Infrastructure – Network (65150),Misc. Expenses Non POs 65150,Misc. Expenses Non POs 65150,Misc. Expenses Non PO,Misc. Expenses Non PO,Op Ex,4843.246776,0.0
IS InfoSec & EA - EA (65190),Misc. Expenses Non POs 65190,Misc. Expenses Non POs 65190,Misc. Expenses Non PO,Misc. Expenses Non PO,Op Ex,-7.75662400000147,0.0
IS ED&EUS - Collaboration & Productivity Platforms (65140),L-GW UK Telephony + Broadband services,,,BT,Op Ex,13500.0,0.0
IS TechOps & Quality – Manufacturing (65130),Misc. Expenses Non POs 65130,Misc. Expenses Non POs 65130,Misc. Expenses Non PO,Misc. Expenses Non PO,Op Ex,166646.107811,0.0
IS ED&EUS - End User Services (65140),Misc. Expenses Non POs 65140,Misc. Expenses Non POs 65140,Misc. Expenses Non PO,Misc. Expenses Non PO,Op Ex,8623.324192,0.0
IS Enterprise Data & Analytics (65115),Misc. Expenses Non POs 65115,Misc. Expenses Non POs 65115,Misc. Expenses Non PO,Misc. Expenses Non PO,Op Ex,0.0,0.0
IS Corporate - Finance (65180),Misc. Expenses Non POs 65180,Misc. Expenses Non POs 65180,Misc. Expenses Non PO,Misc. Expenses Non PO,Op Ex,188799.79,0.0
IS Commercial (65160),Misc. Expenses Non POs 65160,Misc. Expenses Non POs 65160,Misc. Expenses Non PO,Misc. Expenses Non PO,Op Ex,104595.141965,0.0
ERP Project Harmony (66100),Misc. Expenses Non POs 66100,Misc. Expenses Non POs 66100,Misc. Expenses Non PO,Misc. Expenses Non PO,Op Ex,2717.69065899999,0.0
IS R&D – Data Sciences (65170),Misc. Expenses Non POs 65170,Misc. Expenses Non POs 65170,Misc. Expenses Non PO,Misc. Expenses Non PO,Op Ex,5062.66,0.0
"IS Strategy, Ops & Compliance (65120)",Misc. Expenses Non POs 65120,Misc. Expenses Non POs 65120,Misc. Expenses Non PO,Misc. Expenses Non PO,Op Ex,0.0,0.0
IS Global Infrastructure – Network (65150),Network - Exp costs to refresh EOL Infrastructure annually (OpEx),DELETE,"Cisco, Palo Alto",Evotek,Op Ex,26428.29,0.0
IS ED&EUS - Collaboration & Productivity Platforms (65140),Construction services to support AV/VC Installs,,,Alobi,Op Ex,0.0,0.0
IS ED&EUS - Collaboration & Productivity Platforms (65140),KSP & Cambridge phone lines + broadband service,,,BT,Op Ex,16500.0,0.0
IS ED&EUS - Collaboration & Productivity Platforms (65140),Carlsbad phone lines + broadband service,,,AT&T,Op Ex,7720.0,0.0
IS R&D – Research & NonClinical Development (65170),Leadscope - Licenses for Toxicology (Ensure PO is sent to the independent operating entity Leadscope (part of Instem)),Leadscope - Licenses for Toxicology (Ensure PO is sent to the independent operating entity Leadscope (part of Instem)),Leadscope,Instem,Op Ex,6000.0,43750.0
IS R&D – Research & NonClinical Development (65170),"Licenses for Toxicology, Nexus Meteor. Cost is one-time buy in and annual cost","Licenses for Toxicology, Nexus Meteor. Cost is one-time buy in and annual cost",Nexus Meteor,Lhasa Limited,Op Ex,34421.94,0.0
IS R&D – Research & NonClinical Development (65170),Secondary Intelligence - Licenses for Toxicology,Secondary Intelligence - Licenses for Toxicology,Secondary Intelligence,Certara USA Inc,Op Ex,101540.0,84019.0
IS R&D – Research & NonClinical Development (65170),MOE (Molecular Structure Modeling) Licenses - Additional 6 licenses - Apr-Oct,MOE (Molecular Structure Modeling) Licenses - Additional 6 licenses - Apr-Oct,MOE,CCG,Op Ex,0.0,0.0
IS R&D – Research & NonClinical Development (65170),,,Pion Predictor,Pion,Op Ex,0.0,20954.85
IS InfoSec & EA - Eng & Ops (65190),Beyondtrust password safe renewal,,,,Op Ex,810.15,0.0
IS R&D – Research & NonClinical Development (65170),Torx Software for DMC,Torx Software for DMC,Torx,Torx,Op Ex,14977.94,49350.0
IS Enterprise Data & Analytics (65115),Redshift NA - Yearly Licenses (Consolidated),Redshift NA - Yearly Licenses (Consolidated),Redshift NA,Amazon Web Services Inc,Op Ex,27792.0,111168.0
IS Infosec & EA - SGRC (65190),,Data Security Governance Consultancy Support,,RBW Consulting Ltd,Op Ex,0.0,0.0
IS ED&EUS - End User Services (65140),IT Supplies New Hire/Replacement- General (AUS),,,CDW IT Solutions Australia Pty Ltd,Op Ex,0.0,24000.0
IS R&D – Global Clinical Development Operations (65170),"Spotfire Connector for Medidata RAVE. Instance. Subscription, includes Standard Support.","Spotfire Connector for Medidata RAVE. Instance. Subscription, includes Standard Support.",Spotfire,Revvity,Op Ex,0.0,33000.0
IS ED&EUS - End User Services (65140),Laptops for refreshes,,,"CDW Direct, LLC",Cap Ex,0.0,975000.0
IS R&D – Research & NonClinical Development (65170),CSD-Materials - Initial & License Fees,CSD-Materials - Initial & License Fees,CSD Materials,CCD-The Cambridge Crystallographic Data Centre,Op Ex,60710.4,38143.4375
IS Enterprise Data & Analytics (65115),Informatica IPU's (Master),Informatica IPU's (Master),Informatica,Informatica,Op Ex,53961.0,534524.0
IS Enterprise Data & Analytics (65115),Informatica MDM All domain (Master),Informatica MDM All domain (Master),Informatica,Informatica,Op Ex,289132.19,491000.0
IS Enterprise Data & Analytics (65115),Informatica Geo Coding licenses,Informatica Geo Coding licenses,Informatica,Informatica,Op Ex,8807.05,11700.0
IS Global Infrastructure - Manufacturing (65150),Manufacturing - Hardware support for legacy hardware that is no longer supported by the OEM vendor.  Provided through Park Place for ESX hardware in KSP,Manufacturing - LEGACY Hardware support for legacy hardware that is no longer supported by the OEM vendor.  Provided through Park Place for ESX hardware in KSP,Park Place,Softcat,Op Ex,0.0,5000.0
IS Infosec & EA - SGRC (65190),,GRC Tool Phase 2 - Compliance Automation - GRC tool and Security tools integrations and Dashboards builds,Metricstream,Metricstream,Cap Ex,0.0,100000.0
IS Global Infrastructure - Manufacturing (65150),Manufacturing - Cabling support,Manufacturing - Cabling support,KSP Site,SGN,Op Ex,600.0,20000.0
IS Commercial - Omnichannel (65160),Bitly QR Code generation and URL shortener for campaigns,Bitly QR Code generation and URL shortener for campaigns,Bitly,Bitly,Op Ex,6548.52,6549.0
IS Enterprise Data & Analytics (65115),Power BI COE,Power BI COE,Power BI COE,phData,Op Ex,0.0,420000.0
IS ED&EUS - End User Services (65140),Laptop Refresh Europe,Laptop Refresh Europe,Hardware,HiberniaEvros Technology Group,Cap Ex,0.0,180000.0
IS ED&EUS - End User Services (65140),Laptop Refresh UK,Laptop Refresh UK,Hardware,Softcat,Cap Ex,0.0,345000.0
IS ED&EUS - End User Services (65140),"MSP - Service Delivery Managers across all IS CTS towers: Infra, End User Services, CPP","MSP - Service Delivery Managers across all IS CTS towers: Infra, End User Services, CPP",,Cognizant Worldwide Limited,Op Ex,0.0,570072.0
IS R&D – Research & NonClinical Development (65170),"ELN Additional licenses (post launch - potentially 10 licenses for 2024,50 in 2025)","ELN Additional licenses (post launch - potentially 10 licenses for 2024,50 in 2025)",ELN,Dassault Systemes BioVia Corp,Op Ex,22237.0,612862.333333333
IS InfoSec & EA - IIEA - Portfolio Management (65190),,Information Security Maturity Assessment - PWC Maturity Assessment,,PriceWaterhouseCoopers Advisory Services LLC,Op Ex,0.0,250000.0
IS ED&EUS - Collaboration & Productivity Platforms (65140),AV Support for Board of Director Meetings (Dublin),,Support,Yorktel,Op Ex,0.0,24000.0
IS ED&EUS - Collaboration & Productivity Platforms (65140),Onelan Digital Signage,Onelan Digital Signage,Onelan,Yorktel,Op Ex,25000.0,25000.0
IS ED&EUS - Collaboration & Productivity Platforms (65140),Licence/subscription for Creston XiO Cloud Management Console,,,Yorktel,Op Ex,0.0,2000.0
IS Commercial - US Business (65160),Release Lead for Enhancements,,,TBD,Op Ex,0.0,168000.0
IS R&D – Data Sciences (65170),,SAS licenses for Gaia,SAS,SAS,Op Ex,0.0,153125.0
IS Enterprise Data & Analytics (65115),General Gaia License - GROWTH,General Gaia License - GROWTH,TBD,TBD,Op Ex,0.0,150000.0
IS R&D – Research & NonClinical Development (65170),,GCPP Simulation software: Simcyp Simulator,Simcyp Simulator,Certara USA Inc,Op Ex,49168.0,295008.0
IS R&D – Research & NonClinical Development (65170),Multivariate Data Analysis Software,Multivariate Data Analysis Software,SIMCA,Sartorius,Op Ex,0.0,18527.04
IS R&D – Research & NonClinical Development (65170),Origin is the data analysis and graphing software,Origin is the data analysis and graphing software,OriginPro,OriginLab,Op Ex,0.0,5400.0
