Department,Functional Area,2024 Description,2025 Description,Application/Platform,Vendor,Entity,Cost Type,GL Code,CapEx / OpEx,Multi-Year Licence?,Renewal Date,Pre-Paid,Classification,2024 Current Forecast,2024 Original Forecast,2024 Agreed Budget,2024 Variance,2023-2024 Difference,Dec 2025 Actuals,Dec 2025 PO Details,2025 Current Forecast,2025 Original Forecast,2025 Agreed Budget,2025 Variance,2024-2025 Difference
IS Infosec,IS InfoSec & EA - Eng & Ops (65190),Cloud Security - Netskope,,Netskope,Netskope,2101 - US,APPS --- SaaS Subscription Fees (Opex),670110,Op Ex,,10/16/24,True,Extend,"$293,027","$293,028","$293,028",-$1,"-$55,525",,,"$358,704","$358,704","$358,704",$0,"$65,676"
IS Infrastructure,IS Global Infrastructure – Network (65150),Network - Firewall Maintenance (GW),Network - Firewall Maintenance (GW),Palo Alto,Evotek,2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,3 Year,12/01/26,True,Extend,"$352,072","$141,814","$110,938","$210,258","$239,276",,,"$144,000","$144,000","$144,000",$0,"$33,062"
IS Infosec,IS InfoSec & EA - Eng & Ops (65190),Cisco Umbrella DNS Security,,Cisco Umbrella,Cisco Umbrella,2101 - US,APPS --- SaaS Subscription Fees (Opex),670110,Op Ex,3 Year,10/30/24,True,Extend,"$92,171","$106,743","$106,743","-$14,572","$5,464",,,"$108,564","$108,564","$108,564",$0,"$1,821"
IS Infosec,IS InfoSec & EA - IIEA - Portfolio Management (65190),BCP Software,BCP Software,Everbridge,Everbridge Europe LTD,2101 - US,APPS --- SaaS Subscription Fees (Opex),670110,Op Ex,,06/25/26,True,Extend,$0,"$75,000","$75,000","-$75,000","-$71,472",,,"$78,000","$78,000","$78,000",$0,"$3,000"
IS Infosec,IS InfoSec & EA - Eng & Ops (65190),Splunk Centralized Logging Solution,,Splunk,Splunk,2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,01/28/24,True,Extend,"$241,016","$303,932","$303,932","-$62,917","-$29,113",,,"$247,177","$247,177","$247,177",$0,"-$56,755"
IS Infosec,IS Infosec & EA - SGRC (65190),Security Awareness - Creative Services,,,RNB,2101 - US,Consulting (Opex),690100,Op Ex,,,,Extend,"$64,357","$81,574","$54,000","-$17,217","$10,357",,,"$54,000","$54,000","$54,000",$0,$0
IS Infosec,IS InfoSec & EA - Eng & Ops (65190),Mandiant Penetration Testing/Tabletop Exercise,,,Mandiant,2101 - US,Consulting (Opex),690100,Op Ex,,08/25/24,True,Extend,"$12,004","$95,987","$137,575","-$83,983","-$134,156",,,"$156,487","$156,487","$156,487",$0,"$18,912"
IS Infosec,IS Infosec & EA - SGRC (65190),TEK Systems Consulting Services,,,TekSystems,2101 - US,Consulting (Opex),690100,Op Ex,,,,Extend,"$939,637","$1,098,789","$780,000","-$159,153","$159,637",,,"$703,992","$703,992","$703,992",$0,"-$76,008"
IS Infosec,IS InfoSec & EA - IIEA - Portfolio Management (65190),Security Architecture,Security Architecture,,Icyberdefence,3115 - GWR,Consulting (Opex),690100,Op Ex,,12/31/23,,Extend,"$354,108","$325,000","$275,000","$29,108","$54,108",,,"$300,000","$300,000","$300,000",$0,"$25,000"
IS Infosec,IS InfoSec & EA - Eng & Ops (65190),File Integrity Monitor solution (Tripwire),,Tripwire,"Fortra\
Tripwire",2101 - US,"APPS ---  Applications Services, Maintenance, Support, or OLTA Enhancements <$50k (Opex)",670110,Op Ex,,12/03/23,True,Extend,"$69,836","$69,840","$80,820",-$4,"-$148,264",,,"$46,008","$46,008","$46,008",$0,"-$34,812"
IS ED&EUS,IS ED&EUS - End User Services (65140),PrintSolv- Printing MSP,,,PrintSolv,2101 - US,"INFRA --- Infrastructure Services, Maintenance and Support (Opex)",630950,Op Ex,,,,Extend,"$6,000","$24,000","$24,000","-$18,000","-$18,000",,,$0,$0,$0,$0,"-$24,000"
IS Infrastructure,IS Global Infrastructure – Network (65150),Network - Carlsbad last mile service (will be moved to Aryaka),DELETE - Converted to Aryaka and included in RowID 1838,AT&T,AT&T,2101 - US,"INFRA --- Communications - telecom, video, network (Opex)",650500,Op Ex,,,,Extend,$0,$0,$0,$0,"-$28,242",,,$0,$0,$0,$0,$0
IS Infrastructure,IS Global Infrastructure – Network (65150),Network - Carlsbad last mile circuit (will be moved to Aryaka),DELETE - Converted to Aryaka and included in RowID 1838,Cox,Cox Communications,2101 - US,"INFRA --- Communications - telecom, video, network (Opex)",650500,Op Ex,,,,Extend,$0,$0,"$5,000",$0,"-$30,000",,,$0,$0,$0,$0,"-$5,000"
IS ED&EUS,IS ED&EUS - End User Services (65140),Help Desk Support - UK,Retired,Service Contract until 1st April 2024,Littlefish,3115 - GWR,"INFRA --- Infrastructure Services, Maintenance and Support (Opex)",630950,Op Ex,,,,Retire,"$156,250","$270,000","$270,000","-$113,750","-$917,186",,,$0,$0,$0,$0,"-$270,000"
IS ED&EUS,IS ED&EUS - End User Services (65140),IT Supplies  for New Hires/Lifecycle Management UK,IT Supplies New Hire/replacement - General (UK),Hardware,Softcat,3115 - GWR,INFRA --- Infrastructure under $5k per unit and <$100k per purchase (Opex),630700,Op Ex,,,,Extend,"$178,813","$204,000","$204,000","-$25,187","-$21,187",,,"$228,000","$228,000","$228,000",$0,"$24,000"
IS ED&EUS,IS ED&EUS - End User Services (65140),"Misc Subscriptions (SnagIt, Think-Cell, Office Timeline,etc)",,,"CDW Direct, LLC",3115 - GWR,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,12/31/23,,Extend,"$18,750","$75,000","$75,000","-$56,250","-$207,726",,,"$40,000","$40,000","$40,000",$0,"-$35,000"
BPS Corporate,IS Corporate - Finance (65180),Financial Consolidation & Reporting,,,Adaptive Insights,2101 - US,"APPS ---  Applications Services, Maintenance, Support, or OLTA Enhancements <$50k (Opex)",670110,Op Ex,,05/19/24,True,Retire,"$81,397","$120,000","$120,000","-$38,603","-$38,603",,,$0,$0,$0,$0,"-$120,000"
BPS Corporate,IS Corporate - Finance (65180),SOX Management Hub,,,AuditBoard,2101 - US,"APPS ---  Applications Services, Maintenance, Support, or OLTA Enhancements <$50k (Opex)",670110,Op Ex,,01/30/24,True,Extend,"$90,984","$93,996","$93,996","-$3,012","$27,384",,,"$98,688","$98,688","$98,688",$0,"$4,692"
BPS Corporate,IS Corporate - Finance (65180),OfficeConnect Licenses,,,Workday Inc,3115 - GWR,"APPS ---  Applications Services, Maintenance, Support, or OLTA Enhancements <$50k (Opex)",670110,Op Ex,,02/02/22,,Extend,$0,"$3,000","$3,000","-$3,000","-$20,000",,,"$5,000","$5,000","$5,000",$0,"$2,000"
BPS Corporate,IS Corporate - Finance (65180),Tax Provision Software,,,CCH Connect,2101 - US,"APPS ---  Applications Services, Maintenance, Support, or OLTA Enhancements <$50k (Opex)",670110,Op Ex,,06/30/22,,Extend,$0,"$30,900","$30,900","-$30,900","-$30,000",,,$0,$0,$0,$0,"-$30,900"
BPS Corporate,IS Corporate - Finance (65180),Corporate Tax Management,,,"Alteryx, Inc.",2101 - US,"APPS ---  Applications Services, Maintenance, Support, or OLTA Enhancements <$50k (Opex)",670110,Op Ex,,09/29/23,,Extend,"$42,000","$42,000","$12,000",$0,"$12,000",,,"$42,000","$42,000","$42,000",$0,"$30,000"
ERP,ERP Project Harmony (66100),"Existing NAV & Addon Licenses (JET, AMP, ReQlogic, Zetadocs)",,,Avanade Inc.,1200 - IRE,"APPS ---  Applications Services, Maintenance, Support, or OLTA Enhancements <$50k (Opex)",670110,Op Ex,,01/27/24,,Extend,"$112,379","$108,300","$108,300","$4,079","$4,379",,,$0,$0,$0,$0,"-$108,300"
ERP,ERP Project Harmony (66100),Managed Services (Call off Hours),,,Avanade Inc.,3115 - GWR,"APPS ---  Applications Services, Maintenance, Support, or OLTA Enhancements <$50k (Opex)",670110,Op Ex,,02/28/23,,Extend,"$10,000","$40,000","$40,000","-$30,000","-$30,000",,,$0,$0,$0,$0,"-$40,000"
BPS Commercial,IS Commercial - Omnichannel (65160),Website Hosting,Web hosting platform,Drupal Aquia,Acquia,3115 - GWR,"APPS ---  Applications Services, Maintenance, Support, or OLTA Enhancements <$50k (Opex)",670110,Op Ex,,01/23/24,True,Extend,"$337,145","$319,104","$3,585","$18,041","$71,645",,,"$362,750","$362,750","$362,750",$0,"$359,165"
BPS Corporate,IS Corporate - Legal (65180),Scout Contract Management,,,Workday Inc,2101 - US,"APPS ---  Applications Services, Maintenance, Support, or OLTA Enhancements <$50k (Opex)",670110,Op Ex,,01/31/24,True,Retire,$0,"$15,000","$15,000","-$15,000","-$170,032",,,$0,$0,$0,$0,"-$15,000"
BPS Corporate,IS Corporate - Finance (65180),Scout RFP Licenses,,,Workday Inc,2101 - US,"APPS ---  Applications Services, Maintenance, Support, or OLTA Enhancements <$50k (Opex)",670110,Op Ex,,01/31/24,True,Retire,$0,"$8,042","$8,042","-$8,042","-$96,504",,,$0,$0,$0,$0,"-$8,042"
BPS Commercial,IS Commercial - Omnichannel (65160),Google Analytics 360 Licenses,-,-,Klick,2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,02/28/24,,Extend,"$20,000","$20,000","$136,000",$0,"-$113,333",,,$0,$0,$0,$0,"-$136,000"
BPS R&D,IS R&D – Global Clinical Development Operations (65170),Medidata Managed Services (Fixed Price) Service contract for the platform,Medidata Managed Services (Fixed Price) Service contract for the platform,Medidata,Medidata,2101 - US,"APPS ---  Applications Services, Maintenance, Support, or OLTA Enhancements <$50k (Opex)",670110,Op Ex,,07/10/24,True,Extend,"$97,010","$116,412","$119,406","-$19,402","-$81,315",,,"$119,406","$119,406","$119,406",$0,$0
BPS R&D,IS R&D – Data Sciences (65170),P21 - Support CDISC verification of Sativex Submission data,,Pinnacle21,Pinnacle 21,3115 - GWR,APPS --- SaaS Subscription Fees (Opex),670110,Op Ex,,02/18/24,True,Extend,"$94,037","$143,116","$143,116","-$49,080","-$42,264",,,"$268,593","$268,593","$268,593",$0,"$125,477"
BPS R&D,IS R&D – Global Medical Affairs (65170),"Within3 Enterprise License (Giuseppi Piccoli)
IMPE basics is a 2-year agreement, ending 12/31/2025. There will not be a renewal of the IMP Premium",,Within3,Within3,2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,12/31/25,,Extend,"$435,628","$435,636","$435,636",-$8,"$10,628",,,"$446,520","$446,520","$446,520",$0,"$10,884"
BPS R&D,IS R&D – Research & NonClinical Development (65170),SEND - Data Management solution for FDA,,SEND,Instem,3115 - GWR,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,07/09/25,True,Extend,"$24,675","$49,350","$177,617","-$24,675","-$136,795",,,"$104,825","$104,825","$104,825",$0,"-$72,792"
BPS R&D,IS R&D – Research & NonClinical Development (65170),Submit - Version Control for FDA Submission,,Submit,Instem,3115 - GWR,APPS --- SaaS Subscription Fees (Opex),670110,Op Ex,,08/31/22,True,Retire,$0,$0,$0,$0,"-$62,505",,,$0,$0,$0,$0,$0
BPS R&D,IS R&D – Research & NonClinical Development (65170),SciFinder Discovery Platform,,SciFinder,Chemical Abstract Services,3115 - GWR,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,03/31/25,True,Extend,"$130,022","$355,818","$383,097","-$225,796","-$218,248",,,"$130,022","$130,022","$130,022",$0,"-$253,075"
BPS R&D,IS R&D – Data Sciences (65170),FACTS/ Samplesize calculation & adpative trial design software,,FACTS,Berry Consulting,2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,12/31/24,,Extend,"$108,900","$115,500","$115,500","-$6,600","-$1,100",,,"$116,655","$116,655","$116,655",$0,"$1,155"
BPS R&D,IS R&D – Research & NonClinical Development (65170),Spotfire for R&D - Bronze support for each license,,Spotfire,Revvity,2101 - US,"APPS ---  Applications Services, Maintenance, Support, or OLTA Enhancements <$50k (Opex)",670110,Op Ex,,06/30/24,True,Retire,"$64,182","$38,031","$23,760","$26,151","$42,582",,,$0,$0,$0,$0,"-$23,760"
BPS R&D,IS R&D – Research & NonClinical Development (65170),Spotfire for R&D - Licenses + Support (as of April 2024),,Spotfire,Revvity,2101 - US,"APPS ---  Applications Services, Maintenance, Support, or OLTA Enhancements <$50k (Opex)",670110,Op Ex,,06/30/25,True,Extend,"$77,785","$112,657","$94,841","-$34,872","$14,290",,,"$94,384","$94,384","$94,384",$0,-$457
BPS TechOps,IS TechOps & Quality – Supply (65130),Demand Planning/Statistical Forecasting,,,Vuealta Applications,3120 - GWP,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,,,Retire,$0,$0,$0,$0,"-$90,000",,,$0,$0,$0,$0,$0
BPS TechOps,IS TechOps & Quality – QA (65130),ComplianceWire Subscription,,,UL Verification Services,3115 - GWR,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,03/31/24,True,Retire,$0,"$70,709",$375,"-$70,709","-$14,466",,,$0,$0,$0,$0,-$375
BPS R&D,IS R&D – Research & NonClinical Development (65170),"(Gastroplus) Simulated Pharmacokinetic Analysis, ADMET, ADMET Predictor",,Gastroplus,Simulations Plus,3115 - GWR,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,09/29/24,True,Extend,"$104,864","$104,864","$338,089",$0,"-$202,490",,,"$424,699","$424,699","$424,699",$0,"$86,610"
BPS TechOps,IS TechOps & Quality – Manufacturing (65130),Empower CDS Licensing - Global consolidation of 4 systems,,,Waters,3115 - GWR,"APPS ---  Applications Services, Maintenance, Support, or OLTA Enhancements <$50k (Opex)",670110,Op Ex,,10/17/24,True,Extend,"$55,189","$132,837","$110,000","-$77,648","-$25,211",,,"$70,200","$70,200","$70,200",$0,"-$39,800"
IS ED&EUS,IS ED&EUS - Collaboration & Productivity Platforms (65140),Azure Cloud Subscription- GW,,,Microsoft Corporation,3115 - GWR,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,,,Retire,"$6,437","$6,000","$3,600",$437,"-$25,463",,,$0,$0,$0,$0,"-$3,600"
IS Infrastructure,IS Global Infrastructure – Network (65150),Network - Cambridge & KSP last mile service (will be moved to Aryaka),Network - LEGACY Cambridge & KSP last mile service (will be moved to Aryaka),Xoncomm,XonComms,3115 - GWR,"INFRA --- Communications - telecom, video, network (Opex)",650500,Op Ex,,,,Extend,"$30,559","$53,748","$19,200","-$23,189","-$29,441",,,"$12,000","$12,000","$12,000",$0,"-$7,200"
IS Infrastructure,IS Global Infrastructure – Network (65150),Network - KSP last mile service (will be moved to Aryaka),DELETE - Included in RowID 2057,Xoncomm,XonComms,3115 - GWR,"INFRA --- Communications - telecom, video, network (Opex)",650500,Op Ex,,,,Extend,$0,$0,$0,$0,"-$7,556",,,$0,$0,$0,$0,$0
IS Infrastructure,IS Global Infrastructure – Network (65150),Network - KSP last mile circuit (will be moved to Aryaka),DELETE - Included in RowID 2057,Sota,XonComms,3115 - GWR,"INFRA --- Communications - telecom, video, network (Opex)",650500,Op Ex,,,,Extend,$0,$0,"$12,000",$0,"-$3,188",,,$0,$0,$0,$0,"-$12,000"
IS ED&EUS,IS ED&EUS - Collaboration & Productivity Platforms (65140),Licence/subscription for Creston XiO Cloud Management Console,,,Digicom Office Technology Ltd,3115 - GWR,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,12/31/23,,Retire,"$12,725","$7,000","$7,000","$5,725","$5,725",,,$0,$0,$0,$0,"-$7,000"
IS Infrastructure,IS Global Infrastructure - Manufacturing (65150),Manufacturing - VMWare license and support (Jazz & GW),Manufacturing - VMWare license and support (Jazz & GW),VMWare,Softcat,1200 - IRE,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,11/21/25,,Extend,"$139,492","$139,492","$80,000",-$0,"$62,387",,,"$80,000","$80,000","$80,000",$0,$0
IS Infrastructure,IS Global Infrastructure - Manufacturing (65150),Manufacturing - On premise storage maintenance,Manufacturing - On premise storage maintenance,HP,Softcat,3115 - GWR,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,11/01/25,True,Extend,"$45,000","$45,000","$24,000",$0,"$29,247",,,"$24,000","$24,000","$24,000",$0,$0
IS Infrastructure,IS Global Infrastructure – Network (65150),Network - Legacy SD-WAN that will be decommisioned ... paid till 2025,DELETE,Cisco Meraki,XonComms,3115 - GWR,"INFRA --- Infrastructure Services, Maintenance and Support (Opex)",630950,Op Ex,,,,Extend,$0,$0,"$88,000",$0,"-$96,000",,,$0,$0,$0,$0,"-$88,000"
BPS R&D,IS R&D – Global Medical Affairs (65170),Global Veeva Vault MedComms Licenses,,MedComms,Veeva Systems Inc,2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,01/31/25,True,Retire,"$4,950","$65,651","$419,461","-$60,701","-$411,245",,,$0,$0,$0,$0,"-$419,461"
IS SOC,"IS Strategy, Ops & Compliance - PMO (65120)","Clarity License (3 year renewal)
Full: Unlimited
Restricted: Unlimited
View Only: Unlimited
RegoXChange: 1250.00
Smartsheet Connector: 8K",,Clarity,Rego Consulting,2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,10/22/23,True,Extend,"$113,423","$112,413","$123,600","$1,010","$4,739",,,"$140,580","$140,580","$140,580",$0,"$16,980"
IS SOC,"IS Strategy, Ops & Compliance - Compliance (65120)",JIRA Licenses,,JIRA,Gaia Praecipio,3115 - GWR,APPS --- SaaS Subscription Fees (Opex),670110,Op Ex,,05/05/24,True,Extend,"$43,175","$57,995","$61,237","-$14,820","-$16,825",,,"$69,475","$69,475","$69,475",$0,"$8,238"
BPS Commercial,IS Commercial - US Business (65160),MedPro Enrichment Services for EMD and Sleep,,,MedPro,2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,11/02/22,,Retire,$0,$0,"$120,600",$0,"-$60,300",,,$0,$0,$0,$0,"-$120,600"
IS ED&EUS,IS ED&EUS - Collaboration & Productivity Platforms (65140),Communications Credit for Voice Services,,,Microsoft Corporation,2101 - US,"INFRA --- Communications - telecom, video, network (Opex)",650500,Op Ex,,,,Extend,$600,"$2,400","$2,400","-$1,800","-$1,800",,,"$2,400","$2,400","$2,400",$0,$0
BPS TechOps,IS TechOps & Quality – QA (65130),Veeva Business & System Admin Training,,Veeva Quality Vault,Veeva Systems Inc,1200 - IRE,Training (Opex),690100,Op Ex,,,,Extend,$0,"$30,000","$30,000","-$30,000","-$30,000",,,"$30,000","$30,000","$30,000",$0,$0
IS Infrastructure,IS Global Infrastructure – Network (65150),Network - DHCP/DNS appliance  maintenance,Network - DHCP/DNS appliance  maintenance - Paid till August 2026,Infoblox,Evotek,2101 - US,"INFRA --- Infrastructure Services, Maintenance and Support (Opex)",630950,Op Ex,3 Year,08/12/26,True,Extend,$0,$0,$0,$0,"-$19,308",,,$0,$0,$0,$0,$0
IS Infrastructure,IS Global Infrastructure – Network (65150),Network - Terminal Access Control (TACACS)  ClearPass renewal,Network - Terminal Access Control (TACACS)  ClearPass renewal,HP Aruba,Groupware Technology Inc,2101 - US,"INFRA --- Infrastructure Services, Maintenance and Support (Opex)",630950,Op Ex,3 Year,08/31/24,,Extend,"$10,736","$20,736","$20,736","-$10,000","-$41,012",,,"$10,000","$10,000","$10,000",$0,"-$10,736"
IS SOC,"IS Strategy, Ops & Compliance - Compliance (65120)",Paperless qTest Software License/Maintenance,,QTEST,Tricentis,3115 - GWR,APPS --- SaaS Subscription Fees (Opex),670110,Op Ex,,12/21/24,True,Extend,"$80,422","$17,250","$73,250","$63,172","-$12,582",,,"$80,352","$80,352","$80,352",$0,"$7,102"
BPS Commercial,IS Commercial - Data Strategy and Ops (65160),US - SHYFT Data Services and Licenses,,SHYFT,Medidata,2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,03/31/23,,Retire,"$103,238","$119,625","$646,000","-$16,388","-$543,167",,,$0,$0,$0,$0,"-$646,000"
IS SOC,"IS Strategy, Ops & Compliance - Compliance (65120)",Validation Artifacts - VERA DevOps Software License/Maintenance,,VERA,Tricentis,3115 - GWR,APPS --- SaaS Subscription Fees (Opex),670110,Op Ex,,02/28/25,True,Extend,"$48,639","$12,090","$48,360","$36,549","$14,611",,,"$52,457","$52,457","$52,457",$0,"$4,097"
IS SOC,"IS Strategy, Ops & Compliance - Compliance (65120)",Athlone on site support,,,TDV,3115 - GWR,Consulting (Opex),690100,Op Ex,,,,Retire,"$48,804","$70,000","$70,000","-$21,196","-$22,529",,,$0,$0,$0,$0,"-$70,000"
BPS Commercial,IS Commercial - EU & Int'l (65160),Keep the lights on for existing Consent Management (Shyft),contract # 30413 for 2025,SHYFT,Medidata,3115 - GWR,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,12/31/23,,Extend,"$234,578","$302,184","$302,184","-$67,606","-$67,606",,,"$332,402","$332,402","$332,402",$0,"$30,218"
BPS Commercial,IS Commercial - EU & Int'l (65160),Keep the lights on for existing Consent Management,contract # 30413 for 2025,SHYFT,Medidata,3115 - GWR,"APPS ---  Applications Services, Maintenance, Support, or OLTA Enhancements <$50k (Opex)",670110,Op Ex,,12/31/23,,Extend,"$35,990","$60,000","$60,000","-$24,010","-$24,010",,,"$66,000","$66,000","$66,000",$0,"$6,000"
BPS Commercial,IS Commercial - Omnichannel (65160),Legacy GW Marketing Cloud and Datorama licensing,Eu/ Intl Marketing Cloud,Salesforce,Salesforce,2101 - US,APPS --- SaaS Subscription Fees (Opex),670110,Op Ex,,09/28/23,True,Extend,"$289,356","$191,437","$194,448","$97,918","$119,346",,,"$194,000","$194,000","$194,000",$0,-$448
BPS Commercial,IS Commercial - Omnichannel (65160),"Platform and Development Managed Services (Commercial) - Infrastructure support, digital strategy and design (Commercial)","Platform and Development Managed Services (Commercial) - Infrastructure support, digital strategy and design (Commercial)",-,Motionstrand,2101 - US,"APPS ---  Applications Services, Maintenance, Support, or OLTA Enhancements <$50k (Opex)",670110,Op Ex,,12/31/23,,Extend,"$323,680","$319,000","$319,000","$4,680","$33,680",,,"$319,000","$319,000","$319,000",$0,$0
IS ED&EUS,IS ED&EUS - Digital Workplace (65140),Point B managed Service contract,,,Point B,2101 - US,Consulting (Opex),690100,Op Ex,,,,Extend,"$1,664,205","$1,374,800","$1,374,800","$289,405","$1,207,977",,,$0,$0,$0,$0,"-$1,374,800"
BPS Commercial,IS Commercial - Omnichannel (65160),Veeva CRM Backup (annual),Veeva CRM Backup (annual),OwnBackup / Veeva,OwnBackup Inc,2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,02/28/23,,Extend,"$46,060","$46,060","$50,666",$0,-$0,,,"$50,666","$50,666","$50,666",$0,$0
BPS Commercial,IS Commercial - Omnichannel (65160),Turning Point Licenses - Field Training,,,,2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,,,Extend,$0,$0,"$1,500",$0,"-$1,500",,,$0,$0,$0,$0,"-$1,500"
BPS Commercial,IS Commercial - EU & Int'l (65160),HCP Verification in Germany,pending more info before renew for 2025 as 3 year contract,DocCheck,DocCheck,3301 - GER,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,12/31/23,,Extend,"$47,935","$47,935","$47,101",$0,$834,,,"$52,728","$52,728","$52,728",$0,"$5,627"
BPS Commercial,IS Commercial - EU & Int'l (65160),Jazz Website - Pen test & Apps,,,Swordfish,3120 - GWP,Consulting (Opex),690100,Op Ex,,,,Retire,$0,$0,$0,$0,"-$96,000",,,$0,$0,$0,$0,$0
IS ED&EUS,IS ED&EUS - Digital Workplace (65140),CW Resource extension - Lily Ferro,,,Point B,2101 - US,Consulting (Opex),690100,Op Ex,,,,Retire,"-$198,076","$122,000",$0,"-$320,076","-$665,224",,,$0,$0,$0,$0,$0
IS Infosec,IS InfoSec & EA - IIEA - Portfolio Management (65190),IIEA Project Managers,IIEA Senior Project Manager,,Davies,3115 - GWR,Contingent Worker (Opex),690150,Op Ex,,01/01/25,,Extend,"$126,949","$120,000","$144,538","$6,949","-$73,047",,,"$216,000","$216,000","$216,000",$0,"$71,462"
IS ED&EUS,IS ED&EUS - End User Services (65140),CW - Infrastructure Systems Engineer - RA,,,Grovelands,3115 - GWR,Contingent Worker (Opex),690150,Op Ex,,,,Extend,"$264,108","$258,336","$258,336","$5,772","$5,772",,,"$258,336","$258,336","$258,336",$0,$0
BPS TechOps,IS TechOps & Quality – Manufacturing (65130),ZIFO MSP PM - David,,,Zifo Technologies Inc,3115 - GWR,Contingent Worker (Opex),690150,Op Ex,,,,Extend,"$50,234",$0,$0,"$50,234","-$165,766",,,"$216,000","$216,000","$216,000",$0,"$216,000"
BPS TechOps,IS TechOps & Quality – QA (65130),CW - LM,,,Grovelands,3115 - GWR,Contingent Worker (Opex),690150,Op Ex,,,,Extend,"$172,832","$108,000","$108,000","$64,832","-$26,752",,,"$108,000","$108,000","$108,000",$0,$0
BPS TechOps,IS TechOps & Quality – Manufacturing (65130),CW - Aparna,,,Recruitment for Technology Ltd,1200 - IRE,Contingent Worker (Opex),690150,Op Ex,,,,Extend,"$102,215","$54,000","$108,000","$48,215","-$113,785",,,"$108,000","$108,000","$108,000",$0,$0
BPS Commercial,IS Commercial - EU & Int'l (65160),Marketing Cloud & Digital Website Support - RC,"Requisiton 21341
Contractt 30401",,Grovelands,3115 - GWR,Consulting (Opex),690100,Op Ex,,,,Extend,"$213,075","$204,000","$204,000","$9,075","$9,075",,,"$245,292","$245,292","$245,292",$0,"$41,292"
IS Infrastructure,IS Global Infrastructure - Cloud (65150),Cloud - Managed File Transfer (MFT) Service,Cloud - Managed File Transfer (MFT) Service,Fortra MFT,Forta,2101 - US,"INFRA --- Infrastructure Services, Maintenance and Support (Opex)",630950,Op Ex,,04/01/25,,Extend,"$51,240","$50,000","$50,000","$1,240","$5,240",,,"$55,000","$55,000","$55,000",$0,"$5,000"
BPS R&D,IS R&D – Data Sciences (65170),SAS and IML Licenses for SAS Data Analysis - Annual Renewal (Run) - Global (US + Ex-US),,SAS,d-Wise Technologies Inc,2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,07/30/24,,Extend,"$154,318","$132,385","$84,333","$21,934","$67,193",,,"$251,653","$251,653","$251,653",$0,"$167,320"
IS SOC,"IS Strategy, Ops & Compliance (65120)",IS Team Development/Events,,,TBD,2101 - US,Consulting (Opex),690100,Op Ex,,,,Retire,$0,$0,$0,$0,"-$12,000",,,$0,$0,$0,$0,$0
BPS TechOps,IS TechOps & Quality – Manufacturing (65130),Label Management System Support and License Fee,,Prisym,PrisymID Loftware,3120 - GWP,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,07/31/23,,Extend,"$120,000","$120,000","$120,000",$0,"$84,000",,,"$69,504","$69,504","$69,504",$0,"-$50,496"
BPS TechOps,IS TechOps & Quality – QA (65130),Sample Manager LIMS Licensing,,,Thermo-Fisher Scientific,3115 - GWR,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,08/31/23,True,Extend,"$113,477","$67,164","$68,000","$46,313","$46,477",,,"$67,164","$67,164","$67,164",$0,-$836
IS SOC,"IS Strategy, Ops & Compliance - C&E (65120)",Contract Comms Resource - IS Marketing (M),,,"CVPartners, Inc.",2101 - US,Contingent Worker (Opex),690150,Op Ex,,,,Extend,"$187,667","$207,600","$207,600","-$19,933","-$34,333",,,"$195,048","$195,048","$195,048",$0,"-$12,552"
